Condition,Staining,Replicate,Label,Sample,Condition_staining,Sample_replicate,Condition_replicate,PixelCount,Area,Perimeter,Length_mm,AverageThickness,InscrDisc.Radius,Circularity,RRmean_absolute,MaxFeretDiam,MaxFeretDiamAngle,Tortuosity,RRmean_NS_Condition,RRmean_NS_rep,RRmean_relative_NS_Condition,RRmean_relative_NS_rep
arp-2,Stained,rep_3,2,arp-2-Stained-rep_3-2,arp-2-Stained,arp-2-Stained-rep_3,arp-2-rep_3,67494,2678167.276,22712.509,11.254262,234.543,138.583,0.065,219.26,11129.94,86.203,1.011,214.622545454545,206.501333333333,1.02160749018997,1.06178491180041
arp-2,Stained,rep_3,3,arp-2-Stained-rep_3-3,arp-2-Stained,arp-2-Stained-rep_3,arp-2-rep_3,85567,3395305.351,27992.432,13.76387,247.323,170.079,0.054,213.249,13274.137,80.439,1.037,214.622545454545,206.501333333333,0.993600180951929,1.03267614091273
arp-2,Stained,rep_3,4,arp-2-Stained-rep_3-4,arp-2-Stained,arp-2-Stained-rep_3,arp-2-rep_3,63261,2510201.5,22732.281,11.20135,222.211,132.283,0.061,215.684,10833.833,96.142,1.034,214.622545454545,206.501333333333,1.00494568053513,1.04446783233038
arp-2,Stained,rep_3,5,arp-2-Stained-rep_3-5,arp-2-Stained,arp-2-Stained-rep_3,arp-2-rep_3,56271,2232837.746,21156.447,10.708751,208.165,125.984,0.063,214.748,10644.806,88.169,1.006,214.622545454545,206.501333333333,1.00058453572615,1.03993517394561
arp-2,Stained,rep_3,6,arp-2-Stained-rep_3-6,arp-2-Stained,arp-2-Stained-rep_3,arp-2-rep_3,71024,2818237.956,25639.676,12.787491,219.145,132.283,0.054,232.392,12340.588,92.633,1.036,214.622545454545,206.501333333333,1.08279397911259,1.12537772153206
arp-2,Stained,rep_3,7,arp-2-Stained-rep_3-7,arp-2-Stained,arp-2-Stained-rep_3,arp-2-rep_3,61580,2443499.287,21931.677,10.761664,228.469,138.583,0.064,216.407,10499.871,79.701,1.025,214.622545454545,206.501333333333,1.00831438533951,1.04796902037759
arp-2,Stained,rep_3,8,arp-2-Stained-rep_3-8,arp-2-Stained,arp-2-Stained-rep_3,arp-2-rep_3,78516,3115521.111,25450.955,12.438514,247.751,138.583,0.06,217.525,11945.822,94.325,1.041,214.622545454545,206.501333333333,1.01352353052801,1.05338302900385
arp-2,Stained,rep_3,9,arp-2-Stained-rep_3-9,arp-2-Stained,arp-2-Stained-rep_3,arp-2-rep_3,84961,3371259.223,26098.686,12.855523,256.322,157.48,0.062,220.241,12526.5,79.775,1.026,214.622545454545,206.501333333333,1.02617830542246,1.06653548645368
col-0,NonStained,rep_1,1,col-0-NonStained-rep_1-1,col-0-NonStained,col-0-NonStained-rep_1,col-0-rep_1,84734,3344699.491,31120.225,14.937953,209.431,131.938,0.043,218.825,14581.015,88.494,1.024,217.462636363636,225.867666666667,NA,NA
col-0,NonStained,rep_1,2,col-0-NonStained-rep_1-2,col-0-NonStained,col-0-NonStained-rep_1,col-0-rep_1,68245,2693830.302,25482.023,12.487681,204.01,138.22,0.052,211.929,12138.167,86.32,1.029,217.462636363636,225.867666666667,NA,NA
col-0,NonStained,rep_1,3,col-0-NonStained-rep_1-3,col-0-NonStained,col-0-NonStained-rep_1,col-0-rep_1,65236,2575056.247,23368.002,11.110502,215.142,182.2,0.059,246.849,10845.073,90.797,1.024,217.462636363636,225.867666666667,NA,NA
col-0,NonStained,rep_2,1,col-0-NonStained-rep_2-1,col-0-NonStained,col-0-NonStained-rep_2,col-0-rep_2,76492,3019363.579,27406.805,13.852293,219.213,131.938,0.051,210.38,13561.627,95.93,1.021,217.462636363636,214.41625,NA,NA
col-0,NonStained,rep_2,2,col-0-NonStained-rep_2-2,col-0-NonStained,col-0-NonStained-rep_2,col-0-rep_2,76474,3018653.066,25626.67,12.882237,233.396,138.22,0.058,219.497,12747.171,86.44,1.011,217.462636363636,214.41625,NA,NA
col-0,NonStained,rep_2,3,col-0-NonStained-rep_2-3,col-0-NonStained,col-0-NonStained-rep_2,col-0-rep_2,52617,2076947.307,18252.641,9.248295,225.01,131.938,0.078,217.255,9143.306,86.139,1.011,217.462636363636,214.41625,NA,NA
col-0,NonStained,rep_2,4,col-0-NonStained-rep_2-4,col-0-NonStained,col-0-NonStained-rep_2,col-0-rep_2,37017,1461169.555,16597.542,8.163893,174.673,113.089,0.067,210.533,8004.311,89.73,1.02,217.462636363636,214.41625,NA,NA
col-0,NonStained,rep_3,1,col-0-NonStained-rep_3-1,col-0-NonStained,col-0-NonStained-rep_3,col-0-rep_3,71772,2847918.656,25086.478,12.520404,225.678,144.882,0.057,221.609,12333.738,86.838,1.015,217.462636363636,214.20525,NA,NA
col-0,NonStained,rep_3,2,col-0-NonStained-rep_3-2,col-0-NonStained,col-0-NonStained-rep_3,col-0-rep_3,62990,2499448.199,22440.9,11.293318,222.019,125.984,0.062,197.262,11130.773,89.805,1.015,217.462636363636,214.20525,NA,NA
col-0,NonStained,rep_3,3,col-0-NonStained-rep_3-3,col-0-NonStained,col-0-NonStained-rep_3,col-0-rep_3,81313,3226506.293,27332.44,13.645444,232.741,138.583,0.054,208.857,13325.394,86.748,1.024,217.462636363636,214.20525,NA,NA
