Condition,Replicate,Condition_replicate,Sample,RRmean_absolute,RRmean_relative_NS_Condition,RRmean_relative_NS_rep,PixelCount,Area,Perimeter,Length_mm,AverageThickness,InscrDisc.Radius,Circularity,MaxFeretDiam,MaxFeretDiamAngle,Tortuosity
col-0,rep_2,col-0-rep_2,col-0-Stained-rep_2-7,220.755,1.01513990491156,1.02956282464599,96564,3811664.287,32951.996,16.535027,229.585,131.938,0.044,16210.977,94.579,1.02
col-0,rep_2,col-0-rep_2,col-0-Stained-rep_2-8,230.971,1.06211809008779,1.07720846717541,98013,3868860.566,31458.821,15.67429,238.814,144.503,0.049,15494.405,90.697,1.012
col-0,rep_2,col-0-rep_2,col-0-Stained-rep_2-9,217.227,0.998916428276707,1.01310884786018,66547,2626805.262,23109.136,11.657101,224.18,131.938,0.062,11592.496,89.317,1.006
col-0,rep_3,col-0-rep_3,col-0-Stained-rep_3-1,224.834,1.03389715014784,1.04961946544261,78421,3111751.504,25259.036,12.595995,246.44,151.181,0.061,12387.68,87.085,1.017
col-0,rep_3,col-0-rep_3,col-0-Stained-rep_3-10,228.373,1.05017121018491,1.06614100261315,75066,2978624.837,24011.101,11.806074,238.949,144.882,0.065,11580.559,91.216,1.019
col-0,rep_3,col-0-rep_3,col-0-Stained-rep_3-11,224.127,1.03064601693332,1.04631889274423,47173,1871828.384,18507.207,9.321664,202.385,125.984,0.069,9119.174,85.92,1.022
col-0,rep_3,col-0-rep_3,col-0-Stained-rep_3-12,225.359,1.03631135798041,1.05207038576319,74878,2971164.982,23939.042,11.963554,247.126,176.378,0.065,11753.436,97.235,1.018
col-0,rep_3,col-0-rep_3,col-0-Stained-rep_3-13,224.759,1.03355226331462,1.04926933396824,49419,1960949.842,17658.33,8.818987,218.445,138.583,0.079,8670.328,82.947,1.017
col-0,rep_3,col-0-rep_3,col-0-Stained-rep_3-14,215.908,0.992851018503074,1.00794915157308,57658,2287874.016,19960.841,10.029696,226.191,138.583,0.072,9916.529,88.981,1.011
col-0,rep_3,col-0-rep_3,col-0-Stained-rep_3-15,227.061,1.04413798984904,1.06001603602153,67488,2677929.196,23576.313,11.67757,226.749,144.882,0.061,11441.514,81.004,1.021
col-0,rep_3,col-0-rep_3,col-0-Stained-rep_3-16,219.765,1.01058739871301,1.02595524619495,69161,2744313.969,23459.334,11.59946,230.906,151.181,0.063,11369.896,96.873,1.02
col-0,rep_3,col-0-rep_3,col-0-Stained-rep_3-17,214.47,0.986238388287392,1.00123596410452,48448,1922420.485,17673.385,8.463711,217.73,132.283,0.077,7748.72,95.224,1.092
col-0,rep_3,col-0-rep_3,col-0-Stained-rep_3-2,232.937,1.07115872360936,1.08744766993339,67159,2664874.45,25041.128,12.410799,209.383,132.283,0.053,12017.963,91.712,1.033
col-0,rep_3,col-0-rep_3,col-0-Stained-rep_3-3,214.44,0.986100433554103,1.00109591151477,76937,3052866.266,25761.33,12.907176,235.283,144.882,0.058,12691.836,96.956,1.017
col-0,rep_3,col-0-rep_3,col-0-Stained-rep_3-4,218.321,1.00394717755067,1.01921404820844,66676,2645708.971,23680.979,11.52009,227.409,144.882,0.059,10909.905,99.337,1.056
col-0,rep_3,col-0-rep_3,col-0-Stained-rep_3-5,221.229,1.01731958969754,1.03278981257462,76952,3053461.467,25095.361,12.544342,243.831,157.48,0.061,12277.681,94.886,1.022
